| Key | SC Code | Description | Duration (ms) |
| --- | ------- | ----------- | ------------- |
| ctrl | 01D | ctrl | 44 |
| shift | 02A | shift | 63 |
| alt | 038 | alt | 48 |
| left windows | 05B | left windows | 68 |
| right ctrl | 01D | right ctrl | 68 |
| right shift | 036 | right shift | 69 |
| alt gr | 21D | alt gr | 0 |
| z | 02C | z | 63 |
| x | 02D | x | 66 |
| b | 030 | b | 65 |
| n | 031 | n | 64 |
| m | 032 | m | 60 |
| , | 033 | , | 64 |
| ctrl | 01D | ctrl | 20 |
| D | 020 | D | 392 |
| D | 020 | D | 92 |
| D | 020 | D | 38 |
| D | 020 | D | 264 |
| D | 020 | D | 133 |
| D | 020 | D | 153 |
| D | 020 | D | 6 |
| D | 020 | D | 443 |
| D | 020 | D | 26 |
| menu | 05D | menu | 19 |
| f4 | 03E | f4 | 157 |
| right alt | 038 | right alt | 21 |
| right alt | 038 | right alt | 3550 |
| right alt | 038 | right alt | 152 |
| right alt | 038 | right alt | 17 |
| right alt | 038 | right alt | 109 |
| right alt | 038 | right alt | 462 |
| right alt | 038 | right alt | 94 |
| right alt | 038 | right alt | 3 |
| right alt | 038 | right alt | 118 |
| M | 032 | M | 25 |
| M | 032 | M | 38 |
| M | 032 | M | 334 |
| M | 032 | M | 182 |
| ~ | 029 | ~ | 8106 |
| ! | 002 | ! | 6 |
| C | 02E | C | 87812 |
| ! | 002 | ! | 986 |
| ~ | 029 | ~ | 991 |
| tab | 00F | tab | 989 |
| ` | 001 | ` | 9670 |
| ! | 002 | ! | 482 |
| ~ | 029 | ~ | 481 |
| tab | 00F | tab | 485 |
| caps lock | 03A | caps lock | 1513 |
| tab | 00F | tab | 4 |
| shift | 02A | shift | 135306 |
| c | 02E | c | 1402 |
| esc | 001 | esc | 954 |
| ~ | 029 | ~ | 952 |
| ! | 002 | ! | 293 |
| tab | 00F | tab | 250 |
| caps lock | 03A | caps lock | 297 |
| C | 02E | C | 63 |
| shift | 02A | shift | 66 |
| ctrl | 01D | ctrl | 120521 |
| shift | 02A | shift | 8094 |
| ` | 001 | ` | 7 |
| caps lock | 03A | caps lock | 8235 |
| C | 02E | C | 8453 |
| esc | 001 | esc | 945 |
| ! | 002 | ! | 9160 |
| ~ | 029 | ~ | 9158 |
| tab | 00F | tab | 9153 |
| ctrl | 01D | ctrl | 5157 |
| ~ | 029 | ~ | 458 |
| ~ | 029 | ~ | 5 |
| ~ | 029 | ~ | 271 |
| ~ | 029 | ~ | 363 |
| G | 022 | G | 22 |
| G | 022 | G | 22 |
| G | 022 | G | 318 |
| G | 022 | G | 23 |
| G | 022 | G | 121 |
| G | 022 | G | 144 |
| G | 022 | G | 252 |
| G | 022 | G | 158 |
| G | 022 | G | 3 |
| G | 022 | G | 22 |
| G | 022 | G | 200 |
| G | 022 | G | 90 |
| G | 022 | G | 111 |
| G | 022 | G | 177 |
| G | 022 | G | 147 |
| G | 022 | G | 458 |
| G | 022 | G | 404 |
| tab | 00F | tab | 130886 |
| caps lock | 03A | caps lock | 131792 |
| ctrl | 01D | ctrl | 139891 |
| tab | 00F | tab | 7018 |
| tab | 00F | tab | 192 |
| tab | 00F | tab | 316 |
| tab | 00F | tab | 268 |
| tab | 00F | tab | 287 |
| tab | 00F | tab | 203 |
| tab | 00F | tab | 423 |
| tab | 00F | tab | 391 |
| tab | 00F | tab | 183 |
| ` | 001 | ` | 155866 |
| ! | 002 | ! | 155864 |
| ~ | 029 | ~ | 137185 |
| tab | 00F | tab | 201 |
| caps lock | 03A | caps lock | 15518 |
| c | 02E | c | 155905 |
| esc | 001 | esc | 170 |
| ~ | 029 | ~ | 174 |
| tab | 00F | tab | 149 |
| tab | 00F | tab | 19554 |
| shift | 02A | shift | 12523 |
