1682452639.1377454: g (71), Duration: 0s
1682452639.5937426: a (65), Duration: 0s
1682452640.0572865: d (68), Duration: 0s
1682452640.0632849: s (83), Duration: 0s
1682452640.1302996: a (65), Duration: 0s
1682452640.2969747: d (68), Duration: 0s
1682452640.5847595: a (65), Duration: 0s
1682452641.0104086: 2 (50), Duration: 0s
1682452641.0409083: 3 (51), Duration: 0s
1682452641.2432933: 4 (52), Duration: 0s
1682452641.5372696: f (70), Duration: 0s
1682452641.6652813: d (68), Duration: 0s
1682452641.9692702: d (68), Duration: 0s
1682452642.4694164: d (68), Duration: 0s
1682452642.502413: d (68), Duration: 0s
1682452642.5354137: d (68), Duration: 0s
1682452642.5684147: d (68), Duration: 0s
1682452642.6014144: d (68), Duration: 0s
1682452642.635416: d (68), Duration: 0s
1682452642.667413: d (68), Duration: 0s
1682452642.7004151: d (68), Duration: 0s
1682452643.1044137: f (70), Duration: 0s
1682452643.2404141: d (68), Duration: 0s
1682452643.537414: a (65), Duration: 0s
1682452643.577417: g (71), Duration: 0s
1682452643.5814147: f (70), Duration: 0s
1682452643.9284155: 3 (51), Duration: 0s
1682452644.1384146: 2 (50), Duration: 0s
1682452644.4090874: r (82), Duration: 0s
1682452644.4520874: 3 (51), Duration: 0s
1682452644.4650872: 2 (50), Duration: 0s
1682452644.705326: 4 (52), Duration: 0s
1682452644.8423522: 3 (51), Duration: 0s
1682452645.3778713: backtick (192), Duration: 0s
1682452645.7608736: tab (<9>), Duration: 0s
1682452646.281375: caps_lock (<20>), Duration: 0s
1682452646.592735: ctrl_l (<162>), Duration: 0s
1682452646.656755: shift (<160>), Duration: 0s
1682452647.5369794: cmd (<91>), Duration: 0s
1682452647.9304016: alt_l (<164>), Duration: 0s
1682452648.0883992: alt_l (<164>), Duration: 0s
1682452648.9204733: cmd (<91>), Duration: 0s
1682452650.9607892: f (70), Duration: 0s
1682452651.201331: d (68), Duration: 0s
1682452651.4490106: s (83), Duration: 0s
1682452652.8580184: f (70), Duration: 0s
1682452652.9450269: d (68), Duration: 0s
1682452653.0888286: s (83), Duration: 0s
1682452653.185039: a (65), Duration: 0s
1682452653.313042: f (70), Duration: 0s
1682452653.8183556: 3 (51), Duration: 0s
1682452653.9613385: 4 (52), Duration: 0s
1682452654.165239: 3 (51), Duration: 0s
1682452654.2042375: 2 (50), Duration: 0s
1682452654.5292342: 5 (53), Duration: 0s
1682452654.5392358: r (82), Duration: 0s
1682452654.6282332: 3 (51), Duration: 0s
1682452654.8422894: backtick (192), Duration: 0s
1682452655.3045406: tab (<9>), Duration: 0s
1682452655.6971664: caps_lock (<20>), Duration: 0s
1682452656.2652657: ctrl_l (<162>), Duration: 0s
1682452656.7612684: shift (<160>), Duration: 0s
1682452657.1685386: cmd (<91>), Duration: 0s
1682452657.4970152: alt_l (<164>), Duration: 0s
1682452658.3045275: cmd (<91>), Duration: 0s
1682452659.4089592: space (' '), Duration: 0s
1682452659.7929966: space (' '), Duration: 0s
1682452660.1049755: f (70), Duration: 0s
1682452660.4571679: g (71), Duration: 0s
1682452660.464169: v (86), Duration: 0s
1682452660.5699801: f (70), Duration: 0s
1682452660.6119936: d (68), Duration: 0s
1682452660.811331: z (90), Duration: 0s
