| Key | SC Code | Description | Duration (ms) |
| --- | ------- | ----------- | ------------- |
| space | 039 | space | 136 |
| space | 039 | space | 104 |
| space | 039 | space | 120 |
| space | 039 | space | 103 |
| num lock | 045 | num lock | 26 |
| end | 04F | end | 28 |
| \ | 02B | \ | 28 |
| clear | 04C | clear | 29 |
| right | 04D | right | 29 |
| None | 073 | None | 28 |
| down | 050 | down | 30 |
| ' | 07D | ' | 27 |
| ' | 079 | ' | 27 |
| insert | 052 | insert | 32 |
| None | 073 | None | 132 |
| \ | 02B | \ | 39 |
| ' | 07D | ' | 36 |
| ' | 079 | ' | 30 |
| 5 | 04C | 5 | 20 |
| 0 | 052 | 0 | 22 |
| 4 | 04B | 4 | 17 |
| 6 | 04D | 6 | 16 |
| num lock | 045 | num lock | 20 |
| 1 | 04F | 1 | 30 |
| 2 | 050 | 2 | 30 |
| None | 073 | None | 28 |
| ' | 07D | ' | 28 |
| ' | 079 | ' | 29 |
| insert | 052 | insert | 28 |
| \ | 02B | \ | 27 |
| num lock | 045 | num lock | 30 |
| left | 04B | left | 30 |
| end | 04F | end | 27 |
| down | 050 | down | 27 |
| None | 073 | None | 28 |
| ' | 07D | ' | 26 |
| clear | 04C | clear | 29 |
| insert | 052 | insert | 28 |
| right | 04D | right | 26 |
| \ | 02B | \ | 28 |
| ' | 079 | ' | 28 |
| num lock | 045 | num lock | 27 |
| None | 073 | None | 26 |
| ' | 07D | ' | 28 |
| 4 | 04B | 4 | 24 |
| 5 | 04C | 5 | 29 |
| 1 | 04F | 1 | 33 |
| 2 | 050 | 2 | 35 |
| ' | 079 | ' | 36 |
| \ | 02B | \ | 36 |
| insert | 052 | insert | 37 |
| right | 04D | right | 28 |
| num lock | 045 | num lock | 28 |
| None | 073 | None | 25 |
| ' | 07D | ' | 26 |
| clear | 04C | clear | 26 |
| left | 04B | left | 31 |
| end | 04F | end | 28 |
| down | 050 | down | 24 |
| ' | 079 | ' | 19 |
| 0 | 052 | 0 | 25 |
| num lock | 045 | num lock | 21 |
| \ | 02B | \ | 28 |
| ' | 07D | ' | 28 |
| None | 073 | None | 27 |
| 5 | 04C | 5 | 26 |
| 6 | 04D | 6 | 25 |
| ' | 079 | ' | 28 |
| num lock | 045 | num lock | 23 |
| end | 04F | end | 24 |
| down | 050 | down | 25 |
| \ | 02B | \ | 72 |
| None | 073 | None | 86 |
| insert | 052 | insert | 73 |
| clear | 04C | clear | 41 |
| left | 04B | left | 36 |
| right | 04D | right | 39 |
| ' | 079 | ' | 41 |
| ' | 07D | ' | 37 |
| num lock | 045 | num lock | 25 |
| 1 | 04F | 1 | 33 |
| 2 | 050 | 2 | 43 |
| \ | 02B | \ | 41 |
| None | 073 | None | 50 |
| 0 | 052 | 0 | 50 |
| 5 | 04C | 5 | 24 |
| 6 | 04D | 6 | 25 |
| ' | 079 | ' | 25 |
| ' | 07D | ' | 15 |
| num lock | 045 | num lock | 13 |
| end | 04F | end | 21 |
| down | 050 | down | 18 |
| None | 073 | None | 33 |
| ' | 079 | ' | 84 |
| insert | 052 | insert | 135 |
| clear | 04C | clear | 155 |
| right | 04D | right | 165 |
| \ | 02B | \ | 156 |
| ' | 07D | ' | 99 |
| end | 04F | end | 17 |
| down | 050 | down | 20 |
| None | 073 | None | 32 |
| 4 | 04B | 4 | 36 |
| 5 | 04C | 5 | 36 |
| ' | 079 | ' | 35 |
| 6 | 04D | 6 | 32 |
| num lock | 045 | num lock | 32 |
| \ | 02B | \ | 31 |
| ' | 07D | ' | 36 |
| 0 | 052 | 0 | 28 |
| 1 | 04F | 1 | 20 |
| 2 | 050 | 2 | 27 |
| None | 073 | None | 42 |
| clear | 04C | clear | 56 |
| right | 04D | right | 47 |
| ' | 079 | ' | 86 |
| num lock | 045 | num lock | 102 |
| \ | 02B | \ | 86 |
| ' | 07D | ' | 106 |
| end | 04F | end | 66 |
| down | 050 | down | 55 |
| None | 073 | None | 52 |
| ' | 079 | ' | 54 |
| 0 | 052 | 0 | 62 |
| 6 | 04D | 6 | 35 |
| 4 | 04B | 4 | 35 |
| num lock | 045 | num lock | 41 |
| \ | 02B | \ | 31 |
| ' | 07D | ' | 22 |
| 5 | 04C | 5 | 21 |
| None | 073 | None | 20 |
| 1 | 04F | 1 | 22 |
| 2 | 050 | 2 | 16 |
| ' | 079 | ' | 15 |
| \ | 02B | \ | 41 |
| 0 | 052 | 0 | 19 |
| 6 | 04D | 6 | 6 |
| ' | 07D | ' | 11 |
| left | 04B | left | 6 |
| clear | 04C | clear | 5 |
| None | 073 | None | 13 |
| num lock | 045 | num lock | 11 |
| ' | 079 | ' | 14 |
| right | 04D | right | 24 |
| end | 04F | end | 11 |
| down | 050 | down | 7 |
| \ | 02B | \ | 10 |
| ' | 07D | ' | 15 |
| None | 073 | None | 11 |
| 0 | 052 | 0 | 10 |
| 4 | 04B | 4 | 11 |
| 5 | 04C | 5 | 12 |
| num lock | 045 | num lock | 11 |
| ' | 079 | ' | 7 |
| 6 | 04D | 6 | 6 |
| 1 | 04F | 1 | 12 |
| \ | 02B | \ | 13 |
| 2 | 050 | 2 | 14 |
| None | 073 | None | 16 |
| ' | 07D | ' | 15 |
| 0 | 052 | 0 | 13 |
| 4 | 04B | 4 | 5 |
| 5 | 04C | 5 | 8 |
| ' | 079 | ' | 9 |
| right | 04D | right | 10 |
| num lock | 045 | num lock | 7 |
| \ | 02B | \ | 6 |
| None | 073 | None | 8 |
| ' | 07D | ' | 9 |
| end | 04F | end | 9 |
| down | 050 | down | 10 |
| right | 04D | right | 12 |
| clear | 04C | clear | 15 |
| left | 04B | left | 18 |
| insert | 052 | insert | 21 |
| ' | 079 | ' | 26 |
| ' | 079 | ' | 27 |
| 0 | 052 | 0 | 31 |
| 4 | 04B | 4 | 31 |
| 5 | 04C | 5 | 32 |
| 6 | 04D | 6 | 33 |
| num lock | 045 | num lock | 43 |
| \ | 02B | \ | 77 |
| ' | 07D | ' | 81 |
| None | 073 | None | 69 |
| ' | 079 | ' | 17 |
| 1 | 04F | 1 | 15 |
| 2 | 050 | 2 | 16 |
| \ | 02B | \ | 18 |
| insert | 052 | insert | 11 |
| left | 04B | left | 14 |
| clear | 04C | clear | 13 |
| right | 04D | right | 13 |
| None | 073 | None | 18 |
| num lock | 045 | num lock | 19 |
| ' | 07D | ' | 16 |
| ' | 079 | ' | 17 |
| end | 04F | end | 4 |
| 4 | 04B | 4 | 23 |
| num lock | 045 | num lock | 26 |
| \ | 02B | \ | 42 |
| None | 073 | None | 43 |
| 2 | 050 | 2 | 38 |
| ' | 07D | ' | 39 |
| ' | 079 | ' | 43 |
| 0 | 052 | 0 | 25 |
| 5 | 04C | 5 | 15 |
| 1 | 04F | 1 | 16 |
| 6 | 04D | 6 | 8 |
| \ | 02B | \ | 8 |
| None | 073 | None | 7 |
| ' | 07D | ' | 18 |
| insert | 052 | insert | 27 |
| left | 04B | left | 29 |
| clear | 04C | clear | 32 |
| num lock | 045 | num lock | 33 |
| right | 04D | right | 27 |
| end | 04F | end | 28 |
| down | 050 | down | 28 |
| ' | 079 | ' | 27 |
| None | 073 | None | 14 |
| \ | 02B | \ | 90 |
| ' | 07D | ' | 110 |
| 4 | 04B | 4 | 28 |
| 5 | 04C | 5 | 28 |
| 0 | 052 | 0 | 31 |
